epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,79.7813,1.32276,5.76132,0.24902,1.19844,1.09808,0.84465,0.23807,0.35245,0.17929,0.00033,0.08696,0.00427,0.00047,2.07414,8.51775,0.98571,2.64554,1.54796,0.00191288,0.00191288,0.00191288
46,81.3347,1.31296,5.53396,0.23294,1.10586,1.05939,1,0.61459,0.65734,0.3387,0.00131,0.30435,0.02465,0.00357,1.88129,7.25603,0.43999,2.0226,1.46274,0.0019109,0.0019109,0.0019109
47,82.8732,1.22499,5.51927,0.19052,1.03786,1.04043,0.94929,0.78261,0.89904,0.52723,0.04782,0.04348,0.04863,0.01258,1.5533,6.53583,0.19644,1.56924,1.2856,0.00190892,0.00190892,0.00190892
48,84.4046,1.3246,5.49757,0.22224,1.08824,1.05489,0.98988,0.91304,0.98114,0.61376,0.21999,0.20878,0.09624,0.01709,1.42588,6.1429,0.17288,1.22252,1.17771,0.00190694,0.00190694,0.00190694
49,85.969,1.37079,5.79435,0.2557,1.16185,1.11758,0.99188,0.82609,0.92625,0.55859,0.13587,0.17391,0.06774,0.01551,1.5001,6.04667,0.18487,1.27707,1.17951,0.00190496,0.00190496,0.00190496
50,87.4805,1.28795,5.39673,0.17093,1.10413,1.08347,0.94914,0.81186,0.96724,0.54146,0.14986,0.17391,0.04624,0.00692,1.54337,6.19089,0.19166,1.43235,1.24005,0.00190298,0.00190298,0.00190298
51,89.0072,1.34808,5.45235,0.19343,1.1236,1.07466,0.95575,0.93958,0.98792,0.52633,0.19481,0.13043,0.06151,0.01038,1.59395,5.99498,0.15711,1.44003,1.27097,0.001901,0.001901,0.001901
52,90.6094,1.34035,5.24847,0.21804,1.07218,1.08135,0.91559,0.94355,0.9729,0.56249,0.35862,0.30435,0.17135,0.03078,1.55274,5.81322,0.15261,1.30535,1.2404,0.00189902,0.00189902,0.00189902
53,92.219,1.35544,5.22705,0.21241,1.12602,1.10996,0.91306,0.91321,0.98114,0.52817,0.24822,0.26087,0.11635,0.02059,1.55243,5.80785,0.15417,1.06084,1.18578,0.00189704,0.00189704,0.00189704
54,93.7217,1.28642,5.52877,0.2165,1.05448,1.07484,0.9145,0.93054,0.98347,0.59573,0.34044,0.34783,0.27173,0.05775,1.51861,5.4289,0.11897,1.00781,1.17209,0.00189506,0.00189506,0.00189506
55,95.28,1.29453,5.04888,0.22098,1.11068,1.07122,0.99123,0.95652,0.99333,0.65725,0.36352,0.3913,0.21371,0.04789,1.34889,4.90002,0.1178,0.96423,1.14015,0.00189308,0.00189308,0.00189308
