epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,123.579,1.1153,0.88904,0.98796,0.01053,0.82609,0.52659,0.20525,2.48112,3.35191,1.60522,0.00184754,0.00184754,0.00184754
79,125.076,1.22468,0.96066,1.00197,0.87185,0.29668,0.58735,0.23397,2.43231,2.98844,1.53275,0.00184556,0.00184556,0.00184556
80,126.58,1.18205,0.94699,1.01066,0.87979,0.31934,0.64074,0.27695,2.20572,2.78323,1.48792,0.00184358,0.00184358,0.00184358
81,128.036,1.09588,0.89577,1.00924,0.83506,0.52174,0.81193,0.47964,1.73069,2.21626,1.36291,0.0018416,0.0018416,0.0018416
82,129.507,1.11304,0.91597,0.96021,0.863,0.52174,0.80897,0.38046,1.95371,2.27202,1.3638,0.00183962,0.00183962,0.00183962
83,130.961,1.09845,0.87714,0.95163,0.93379,0.61347,0.92347,0.57496,1.51076,1.93893,1.25025,0.00183764,0.00183764,0.00183764
84,132.43,1.20924,1.03428,1.07419,1,0.61261,0.95125,0.59884,1.49563,2.06963,1.21375,0.00183566,0.00183566,0.00183566
85,133.873,1.11508,0.87677,0.9487,1,0.7289,0.97845,0.56203,1.55286,1.78401,1.22209,0.00183368,0.00183368,0.00183368
86,135.324,1.22343,0.92705,1.01479,1,0.91308,0.995,0.62591,1.28513,1.4095,1.16763,0.0018317,0.0018317,0.0018317
87,136.731,1.08563,0.84576,0.96721,0.95668,0.96031,0.99333,0.6572,1.34043,1.22352,1.14356,0.00182972,0.00182972,0.00182972
88,138.184,1.15289,0.90586,0.97416,0.98388,0.95652,0.97859,0.64485,1.30363,1.13084,1.12778,0.00182774,0.00182774,0.00182774
89,139.658,1.05399,0.88344,0.97358,0.95476,0.95652,0.98342,0.69456,1.14413,1.17044,1.08511,0.00182576,0.00182576,0.00182576
90,141.12,1.06725,0.8519,0.95899,0.92825,0.95652,0.97951,0.71088,1.22342,1.10932,1.11503,0.00182378,0.00182378,0.00182378
91,142.581,0.9907,0.8312,0.97415,0.87018,0.95652,0.97033,0.6097,1.47506,1.04054,1.14676,0.0018218,0.0018218,0.0018218
92,144.03,1.13174,0.82264,0.99752,0.9642,0.95652,0.9918,0.69804,1.18489,0.83174,1.06798,0.00181982,0.00181982,0.00181982
93,145.526,1.03462,0.79445,0.94544,0.99603,0.95652,0.9918,0.74041,1.0658,0.7133,1.03266,0.00181784,0.00181784,0.00181784
94,146.967,0.97585,0.78168,0.95425,1,0.99007,0.995,0.71881,1.12091,0.72038,1.03754,0.00181586,0.00181586,0.00181586
95,148.402,1.00197,0.77868,0.94342,1,0.98898,0.995,0.74983,1.05042,0.69475,1.03973,0.00181388,0.00181388,0.00181388
96,149.831,0.97599,0.75903,0.96389,0.99563,0.95652,0.99333,0.62715,1.28996,0.75195,1.07911,0.0018119,0.0018119,0.0018119
97,151.276,1.09549,0.81108,0.96449,1,0.99124,0.995,0.75712,1.0332,0.74219,1.02801,0.00180992,0.00180992,0.00180992
98,152.732,0.95417,0.77691,0.9377,1,0.99528,0.995,0.67729,1.14302,0.77348,1.05652,0.00180794,0.00180794,0.00180794
99,154.164,0.98938,0.75468,0.92622,1,0.99941,0.995,0.70925,1.08322,0.7326,1.05155,0.00180596,0.00180596,0.00180596
100,155.588,0.96733,0.73351,0.93061,0.95275,1,0.98417,0.67696,1.07874,0.76522,1.06556,0.00180398,0.00180398,0.00180398
101,157.051,0.97949,0.80708,0.93778,0.95387,1,0.98792,0.72251,1.09644,0.75393,1.05443,0.001802,0.001802,0.001802
102,158.504,0.85352,0.69812,0.90862,1,0.99243,0.995,0.73981,1.04107,0.65973,1.03397,0.00180002,0.00180002,0.00180002
103,159.936,0.94847,0.73131,0.93943,1,0.99956,0.995,0.75149,0.95864,0.62346,1.00656,0.00179804,0.00179804,0.00179804
104,161.347,0.90513,0.77694,0.9375,0.95599,1,0.99333,0.73012,1.02447,0.69474,1.00617,0.00179606,0.00179606,0.00179606
105,162.782,0.97232,0.75101,0.93964,1,0.98527,0.995,0.69888,1.02637,0.66694,1.0089,0.00179408,0.00179408,0.00179408
106,164.248,0.94689,0.73977,0.92725,0.99564,1,0.995,0.73706,1.01831,0.6332,1.00439,0.0017921,0.0017921,0.0017921
107,165.706,0.97881,0.70861,0.93584,0.99769,1,0.995,0.72932,1.00017,0.6219,0.99521,0.00179012,0.00179012,0.00179012
108,167.157,1.02412,0.74434,0.96862,0.99896,1,0.995,0.75395,0.93764,0.6329,0.98172,0.00178814,0.00178814,0.00178814
109,168.586,1.0458,0.72956,0.9401,0.99371,1,0.995,0.73986,1.07491,0.63029,1.00147,0.00178616,0.00178616,0.00178616
110,170.064,0.99557,0.70723,0.93763,0.9972,1,0.995,0.73063,1.03004,0.59616,0.98336,0.00178418,0.00178418,0.00178418
111,171.506,0.96451,0.69663,0.92221,0.99602,1,0.995,0.75393,0.98917,0.58095,0.98116,0.0017822,0.0017822,0.0017822
112,172.923,0.93907,0.68705,0.93006,0.99557,1,0.995,0.7934,0.94609,0.59539,0.96593,0.00178022,0.00178022,0.00178022
113,174.369,0.96951,0.70965,0.92153,0.99694,1,0.995,0.72867,1.03064,0.59639,0.99986,0.00177824,0.00177824,0.00177824
114,175.812,0.86664,0.66195,0.92678,0.99778,1,0.995,0.75591,0.93518,0.60345,0.97254,0.00177626,0.00177626,0.00177626
115,177.24,0.92797,0.66081,0.94185,0.99796,1,0.995,0.74543,1.02073,0.60815,0.98652,0.00177428,0.00177428,0.00177428
116,178.689,0.95472,0.66798,0.91341,1,0.99567,0.995,0.73474,0.9641,0.60789,0.97636,0.0017723,0.0017723,0.0017723
117,180.168,0.86357,0.64781,0.92764,1,0.99626,0.995,0.72818,0.99331,0.60499,0.98691,0.00177032,0.00177032,0.00177032
118,181.654,0.88804,0.65151,0.92503,1,0.99665,0.995,0.75056,0.98103,0.5634,0.97584,0.00176834,0.00176834,0.00176834
119,183.083,0.88776,0.67708,0.91466,0.99852,1,0.995,0.76583,0.91132,0.57492,0.96399,0.00176636,0.00176636,0.00176636
120,184.511,0.82148,0.61763,0.89897,0.9997,1,0.995,0.74149,0.97788,0.58874,0.97259,0.00176438,0.00176438,0.00176438
121,185.921,0.87355,0.60781,0.90074,0.9977,1,0.995,0.77768,0.88618,0.55441,0.95258,0.0017624,0.0017624,0.0017624
122,187.323,0.90505,0.64917,0.90239,0.99715,1,0.995,0.78153,0.92093,0.61104,0.96074,0.00176042,0.00176042,0.00176042
123,188.771,0.84768,0.63323,0.89336,0.99479,1,0.995,0.74716,0.94305,0.6147,0.95785,0.00175844,0.00175844,0.00175844
124,190.213,0.87419,0.63856,0.91548,0.99627,1,0.995,0.76964,0.86929,0.58733,0.94969,0.00175646,0.00175646,0.00175646
125,191.633,0.84192,0.65404,0.89744,0.99651,1,0.995,0.7309,0.9632,0.57241,0.95801,0.00175448,0.00175448,0.00175448
126,193.023,0.86604,0.62196,0.91692,0.9966,1,0.995,0.77747,0.88009,0.55321,0.95631,0.0017525,0.0017525,0.0017525
127,194.513,0.86629,0.6061,0.90736,0.99691,1,0.995,0.79604,0.89582,0.5844,0.96235,0.00175052,0.00175052,0.00175052
128,195.971,0.93584,0.6482,0.95745,0.99504,1,0.995,0.76877,0.94076,0.55868,0.96225,0.00174854,0.00174854,0.00174854
129,197.44,0.86036,0.60104,0.91189,0.99676,1,0.995,0.73803,0.97992,0.59373,0.97421,0.00174656,0.00174656,0.00174656
